Column	Variable						
A	Date						
B	Site						
C	Cl (mg/L)						
D	NO3 (mg N/L)						
E	TN (mg N/L)						
F	TP (ugP/L)						
G	PO4 (ug P/L)						
H	SO4 (mg/L)						
							
Site codes:							
BALT	"Grab samples, Balatimore station"						
BALTISCO	Weekly flow-weighted composite samples from an ISCO automatic sampler at the Baltimore station						
LANV	"Grab samples, Lanvale station"						
LANVISCO	Weekly flow-weighted composite samples from an ISCO automatic sampler at the Lanvale station						
							
23-Mar-04	BALT	.	.	.	.	.	.
30-Mar-04	BALT	.	.	.	.	.	.
6-Apr-04	BALT	131.00	7.39	7.49	814.67	316.00	76.70
13-Apr-04	BALT	111.00	5.87	5.87	367.90	164.00	57.80
20-Apr-04	BALT	.	.	.	.	.	.
27-Apr-04	BALT	288.00	15.52	16.00	1420.00	707.00	166.00
4-May-04	BALT	110.00	6.44	6.44	460.00	271.00	61.00
11-May-04	BALT	117.00	6.96	6.96	184.00	119.00	63.90
1-Jun-04	BALT	104.00	6.03	6.08	81.70	36.80	59.10
8-Jun-04	BALT	321.00	7.55	7.78	203.00	4.29	75.60
22-Jun-04	BALT	121.00	7.21	7.13	157.00	103.00	66.30
29-Jun-04	BALT	109.00	6.53	6.53	439.80	281.00	55.90
13-Jul-04	BALT	154.00	5.94	5.94	549.00	6.69	58.50
20-Jul-04	BALT	113.00	7.12	7.12	364.80	249.00	58.70
27-Jul-04	BALT	106.00	7.18	7.18	387.00	203.00	59.20
10-Aug-04	BALT	93.60	5.69	5.89	298.00	173.00	51.80
17-Aug-04	BALT	103.00	7.03	7.03	507.00	308.00	58.40
24-Aug-04	BALT	133.00	9.08	9.08	555.00	355.00	78.30
31-Aug-04	BALT	112.00	6.46	7.37	181.00	106.00	60.10
14-Sep-04	BALT	.	.	7.41	.	.	.
21-Sep-04	BALT	104.00	7.00	7.00	.	244.00	61.90
28-Sep-04	BALT	117.00	7.34	7.30	.	169.00	80.80
5-Oct-04	BALT	132.00	7.52	7.52	.	190.00	63.70
12-Oct-04	BALT	117.00	7.70	7.77	540.00	267.00	72.60
19-Oct-04	BALT	115.00	7.43	7.43	258.00	154.00	65.00
26-Oct-04	BALT	111.00	7.45	7.45	189.00	118.00	67.20
2-Nov-04	BALT	92.50	5.69	5.90	1177.00	639.00	48.80
9-Nov-04	BALT	60.10	3.37	3.39	402.00	180.00	29.10
16-Nov-04	BALT	72.00	4.41	4.41	489.00	327.00	36.10
23-Nov-04	BALT	69.70	4.38	4.38	465.00	307.00	35.50
30-Nov-04	BALT	58.70	3.73	3.73	331.00	199.00	29.50
7-Dec-04	BALT	40.90	2.96	5.43	244.00	116.00	29.90
14-Dec-04	BALT	91.80	6.60	6.60	176.00	46.40	53.20
21-Dec-04	BALT	94.30	6.64	6.77	519.00	297.10	55.30
28-Dec-04	BALT	116.00	5.62	5.62	86.20	54.00	44.20
04-Jan-05	BALT	57.10	3.57	3.76	726.00	397.00	30.70
11-Jan-05	BALT	76.50	4.43	6.07	882.00	353.00	41.80
25-Jan-05	BALT	9650.00	4.95	5.26	224.00	92.40	35.00
01-Feb-05	BALT	360.00	2.37	3.47	474.00	223.00	27.70
08-Feb-05	BALT	99.50	5.76	6.32	295.00	119.00	52.20
15-Feb-05	BALT	90.40	4.95	4.95	57.40	25.30	41.80
22-Feb-05	BALT	90.50	5.08	5.24	60.30	36.60	44.30
01-Mar-05	BALT	7060.00	1.26	1.88	170.00	58.50	30.30
08-Mar-05	BALT	139.00	1.50	1.81	293.00	113.00	18.40
15-Mar-05	BALT	100.00	4.27	4.21	94.40	56.40	36.90
21-Mar-05	BALT	126.00	6.71	6.64	732.00	384.00	54.70
29-Mar-05	BALT	120.00	5.24	5.92	882.00	382.00	50.00
5-Apr-05	BALT	113.00	5.06	5.26	251.00	129.00	48.00
19-Apr-05	BALT	87.20	4.99	5.25	167.00	92.70	45.40
22-Apr-05	BALT	99.90	5.22	5.61	369.00	216.00	46.50
26-Apr-05	BALT	76.30	4.68	5.03	525.00	238.00	46.00
3-May-05	BALT	72.70	4.68	4.91	300.00	151.00	48.90
10-May-05	BALT	83.00	5.15	5.22	261.00	139.00	54.60
17-May-05	BALT	81.10	4.59	5.43	344.00	162.00	47.80
24-May-05	BALT	74.10	4.36	5.22	432.00	134.00	45.10
31-May-05	BALT	102.00	6.39	6.39	1240.00	643.00	78.30
07-Jun-05	BALT	87.80	5.76	.	532.00	252.00	59.00
14-Jun-05	BALT	93.10	5.96	6.08	195.00	130.00	54.20
21-Jun-05	BALT	93.50	5.56	5.86	632.50	297.00	58.10
28-Jun-05	BALT	113.00	6.64	7.51	433.00	233.00	70.70
06-Jul-05	BALT	90.60	5.44	5.84	980.00	459.00	65.00
12-Jul-05	BALT	89.30	5.56	5.56	759.00	365.00	55.40
19-Jul-05	BALT	88.80	6.21	6.29	773.00	370.00	62.80
26-Jul-05	BALT	81.90	5.13	5.13	685.30	300.00	53.40
02-Aug-05	BALT	89.80	4.47	5.17	975.70	345.00	60.80
09-Aug-05	BALT	149.00	9.92	10.00	1243.00	549.00	80.50
